unq:name@Category.category_id,unq:name,ui_order
'Salvage','Rare Artwork',26
'Salvage','Rebel Transmissions',27
'Salvage','Salvageable Wreckage',28
'Salvage','SAP 8 Core Container',29
'Salvage','Scientific Research',30
'Salvage','Scientific Samples',31
'Salvage','Space Pioneer Relics',32
'Salvage','Tactical Data',33
'Salvage','Technical Blueprints',34
'Salvage','Trade Data',35
'Salvage','Unknown Artefact',36
'Salvage','Unstable Data Core',37
'Slavery','Imperial Slaves',1
'Slavery','Slaves',2
'Technology','Advanced Catalysers',1
'Technology','Animal Monitors',2
'Technology','Aquaponic Systems',3
'Technology','Auto-Fabricators',4
'Technology','Bioreducing Lichen',5
'Technology','Computer Components',6
'Technology','H.E. Suits',7
'Technology','Hardware Diagnostic Sensor',8
'Technology','Land Enrichment Systems',9
'Technology','Medical Diagnostic Equipment',10
'Technology','Micro Controllers',11
'Technology','Muon Imager',12
'Technology','Nanobreakers',13
'Technology','Resonating Separators',14
'Technology','Robotics',15
'Technology','Structural Regulators',16
'Technology','Telemetry Suite',17
'Textiles','Conductive Fabrics',1
'Textiles','Leather',2
'Textiles','Military Grade Fabrics',3
'Textiles','Natural Fabrics',4
'Textiles','Neofabric Insulation',5
'Textiles','Synthetic Fabrics',6
'Waste','Biowaste',1
'Waste','Chemical Waste',2
'Waste','Scrap',3
'Waste','Toxic Waste',4
'Weapons','Battle Weapons',1
'Weapons','Landmines',2
'Weapons','Non-Lethal Weapons',3
'Weapons','Personal Weapons',4
'Weapons','Reactive Armour',5
